"","cpg","outcome","beta.primary","se.primary","pval.primary","beta.secondary","se.secondary","pval.secondary"
"1","cg13565585","Height || id:89",0.370072256608103,0.0409722855530399,1.68165292641312e-19,0.00204042739608409,0.0159153336894559,0.897986641842342
"2","cg22134413","Inflammatory bowel disease || id:31",0.329759506461905,0.051054538486205,1.0542108897917e-10,-0.121582304206311,0.272768790262622,0.655789453995548
"3","cg10819981","Crohn's disease || id:30",-2.06409652268715,0.318191777533707,8.75870594701448e-11,-0.0416595321999342,0.108322200218311,0.70054190728064
"4","cg24103044","Triglycerides || id:302",-0.405325853033993,0.0611205651400465,3.32114826465084e-11,0.0267235202812286,0.0109323492059572,0.0145075422497357
"5","cg27333274","Body mass index || id:2",-0.201981635863757,0.0255672956789566,2.78903429331853e-15,-0.00224182511466235,0.0103684411553134,0.828819213786263
"6","cg25214898","Crohn's disease || id:30",-1.34677007639226,0.198394143614636,1.13418500549222e-11,0.0437581788446595,0.168170951377774,0.794709058005951
"7","cg25675800","HDL cholesterol || id:299",-0.542020808436941,0.0378554215416276,1.68473409838072e-46,-0.0114688222615447,0.0145271748646233,0.429835204622545
"8","cg01300096","Schizophrenia || id:22",-1.37073223665954,0.216231661334883,2.30985602967916e-10,0.160803517434063,0.111448412882048,0.149062288472383
"9","cg05762488","HDL cholesterol || id:299",0.456718245023311,0.0428591901488151,1.63039472735322e-26,-0.00530311431627181,0.00982635888015071,0.589415983258802
"10","cg20191453","Crohn's disease || id:30",-1.37698897806971,0.194580881062229,1.47636083627458e-12,0.0493362325217529,0.181815906609928,0.786119797200349
"11","cg20191453","Inflammatory bowel disease || id:31",-0.973702199884461,0.141588641113367,6.1134850676947e-12,-0.079509153686379,0.133233518608895,0.550664023237778
"12","cg00723041","LDL cholesterol || id:300",0.442288835312341,0.0376416030053056,7.06188479177199e-32,-0.0346119500449571,0.0399960311630615,0.386827722209834
"13","cg00723041","Total cholesterol || id:301",0.408411392607566,0.0357595228550403,3.28234065347622e-30,-0.0553791200719313,0.039226876717618,0.158019253847399
"14","cg00723041","Triglycerides || id:302",-0.396177871630841,0.033877442704775,1.36074753376002e-31,-0.0107681622362089,0.0361502589358441,0.765800599336935
"15","cg00723041","Arachidonate (20:4n6) || id:319",0.459227556664728,0.023526001878316,7.42382563841919e-85,0.0084606988998784,0.0138447800179828,0.541126024471668
"16","cg00723041","Eicosapentaenoate (EPA; 20:5n3) || id:402",0.332187146521822,0.033877442704775,1.06559002637849e-22,-0.0176905522452003,0.0269204055905222,0.51108906411744
"17","cg00723041","1-linoleoylglycerophosphoethanolamine* || id:497",-0.405588272382168,0.0329364026296424,7.58840474529019e-35,-0.0084606988998784,0.0261512511450787,0.746294336814333
