access	author	category	consortium	filename	id	mr	ncase	ncontrol	note	nsnp	path	pmid	population	priority	sample_size	sd	sex	subcategory	trait	unit	year
public	Dastani Z	Risk factor	ADIPOGen	adipogen.discovery.eur_.meta_.public.release.txt.tab	1	1	NA	NA	NA	2675209	/projects/MRC-IEU/publicdata/GWAS_summary_data/ADIPOGEN	22479202	Mixed	1	39883	0.57	Males and females	Protein	Adiponectin	ln(mg/dL)	2012
public	Jostins L	Disease	IIBDGC	CD.gwas_ichip_meta_release.txt.gz.tab	10	1	14763	15977	NA	13898	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	23128233	European	1	30740	NA	Males and females	Autoimmune / inflammatory	Crohn's disease	log odds	2012
public	Randall JC	Risk factor	GIANT	GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN_N.txt.tab	100	1	NA	NA	Adjusted for BMI	2725796	/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013	23754948	European	15	60586	8.4548	Males	Anthropometric	Hip circumference	SD (cm)	2013
public	Okbay	Risk factor	SSGAC	DS_Full.txt.gz.tab	1000	1	NA	NA	NA	6524475	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181	27089181	European	1	161460	NA	Males and females	Psychiatric / neurological	Depressive symptoms	SD	2016
public	Okbay	Risk factor	SSGAC	EduYears_Main.txt.gz.tab	1001	1	NA	NA	NA	8146841	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_education_educational_attainment_2016/	27225129	European	1	293723	3.71	Males and females	Education	Years of schooling	SD (years)	2016
public	Kilpelainen	Risk factor	NA	Leptin_Adjusted_for_BMI.txt.tab	1002	1	NA	NA	Adjusted for BMI; effect allele frequencies are missing	2474010	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Kilpelainen_Leptin	26833098	European	1	32161	NA	Males and females	Hormone	Leptin	log ng/ml	2016
public	Kilpelainen	Risk factor	NA	Leptin_Not_Adjusted_for_BMI.txt.tab	1003	1	NA	NA	Effect allele frequencies are missing	2473865	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Kilpelainen_Leptin	26833098	European	2	32161	NA	Males and females	Hormone	Leptin	log ng/ml	2016
public	Day	Risk factor	ReproGen	Menopause_HapMap2_DayNG2015_18112015.txt.tab	1004	1	NA	NA	NA	2418696	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ReproGen_Menopause	26414677	European	1	69360	3.93	Females	Reproductive aging	Age at menopause	years	2015
public	Manichaikul A	Risk factor	MESA	MESA_MetaAnallogemph950Model2.csv.tab	1005	1	NA	NA	NA	2968584	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema	24383474	Mixed	1	7667	0.708	Males and females	Lung disease	Percent emphysema	log (% emphysema + 1)	2014
public	Gieger C	Risk factor	HaemGen	MPV.txt.tab	1006	1	NA	NA	Effect allele frequencies are missing	2690859	/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/HaemGen_platelets/data	22139419	European	1	66867	0.109	Males and females	Haemotological	Mean platelet volume	log fl	2011
