"","community","trait","pmid","category","mrbase_id","background","ncase","ncontrol","lor","se","z","pval","fdr"
"1","16","Iron",25352340,"Metal","1049","clumped",7,129190,0.170726841914221,0.0246539230166523,6.92493611661339,4.36172306618296e-12,2.0072649550574e-08
"2","16","Transferrin Saturation",25352340,"Metal","1051","clumped",7,129334,0.146152796621867,0.0240317785803759,6.08164710460566,1.18954156998264e-09,2.73713515253005e-06
"3","16","Mean cell haemoglobin",23222517,"Haematological","271","clumped",7,148131,0.171765266073096,0.0300052368142661,5.7245095959859,1.03732944831472e-08,1.59126337371478e-05
"4","16","Transferrin",25352340,"Metal","1052","clumped",7,129464,0.139957864429458,0.0249095501286888,5.61864279789889,1.92463290781532e-08,2.21429016044153e-05
"5","16","Mean cell haemoglobin concentration",23222517,"Haematological","272","clumped",7,148173,0.480816943180225,0.0881725796456216,5.45313458121219,4.94895851588152e-08,4.17004312057078e-05
"6","81","4-choice reaction time",21130836,"Neurological","1068","clumped",7,144319,1.6284757437118,0.299550462785203,5.4363986907926,5.43682284298668e-08,4.17004312057078e-05
"7","16","Ferritin",25352340,"Metal","1050","clumped",7,126820,0.666845784484208,0.13179487391368,5.05972474256443,4.19862140272505e-07,0.000259499182920187
"8","16","Haemoglobin concentration",23222517,"Haematological","270","clumped",7,148248,0.262789214171331,0.052078506023089,5.04602059926265,4.51106793429268e-07,0.000259499182920187
"9","3","LDL cholesterol",24097068,"Lipid","300","clumped",27,144335,0.102227453691505,0.0228362731295849,4.47653840499338,7.58630265426465e-06,0.00359095767276463
"10","3","Total cholesterol",24097068,"Lipid","301","clumped",27,144562,0.103695984636681,0.0231955188006556,4.47051801375319,7.8030370985759e-06,0.00359095767276463
"11","16","Packed cell volume",23222517,"Haematological","274","clumped",7,148194,0.439124938272953,0.0994153825102765,4.41707236028148,1.00046745066273e-05,0.00418559200722716
"12","6","Mean cell haemoglobin concentration",23222517,"Haematological","272","clumped",47,148173,0.275325466737873,0.0636197845163003,4.32767053254213,1.50694660323798e-05,0.00577914022341764
"13","25","Bipolar disorder",21926972,"Neurological","801","clumped",13,145285,0.869903176319424,0.205798435369463,4.22696690943114,2.36862484465331e-05,0.00819232056761852
"14","25","Selenium",23720494,"Metal","1077","clumped",13,146337,0.630083312127344,0.149468154909031,4.21550204129317,2.49223137650281e-05,0.00819232056761852
"15","13","Fasting insulin",22581228,"Glycemic","775","clumped",9,148925,1.09321052717169,0.264536545174576,4.13255010361706,3.58760528537977e-05,0.0110067730155451
"16","34","Extreme waist-to-hip ratio",23563607,"Anthropometric","87","clumped",10,123270,1.03537906377547,0.251492384001397,4.11694003333999,3.83935917666382e-05,0.0110429568318793
"17","16","Mean cell volume",23222517,"Haematological","273","clumped",7,148209,0.159316366165168,0.0389822223835108,4.08689798641541,4.37179231426672e-05,0.0118346989589738
"18","72","2-choice reaction time",21130836,"Neurological","1064","clumped",7,144473,1.40113397775558,0.354032185429628,3.95764576052672,7.56920986830017e-05,0.0193519465632874
"19","9","Plasma cortisol",25010111,"Other","1012","clumped",24,149850,0.685982118104737,0.174261756500795,3.93650409521498,8.26772100621105e-05,0.0200252905634649
"20","41","Parents' age at death",27015805,"Aging","1094","clumped",8,197123,1.22374058747651,0.319826826671632,3.82625998016398,0.000130104883934243,0.0299371337932692
"21","7","Ever vs never smoked",20418890,"Behavioural","962","clumped",22,145384,0.940903974136186,0.250105429392678,3.76202938265254,0.000168540241747254,0.036934390120041
"22","6","Eczema",26482879,"Immune","996","clumped",61,192134,0.268881469416042,0.0722233481713415,3.72291615141065,0.000196934938019352,0.0411952083984118
"23","81","Neo-extraversion",21173776,"Personality","115","clumped",7,139929,1.37761652721649,0.371168435331108,3.71156703017475,0.000205980104370953,0.0412139321876141
"24","15","Mean cell haemoglobin",23222517,"Haematological","271","clumped",10,148131,0.143502457868634,0.0415938320291592,3.45008985390027,0.000560399995302286,0.107456699099213
"25","17","Paget's disease",21623375,"Bone","975","clumped",12,145117,0.33263034010925,0.0981927083333704,3.38752587391672,0.000705260646921415,0.129824379885294
"26","23","Amygdala volume",25607358,"Neurological","1043","clumped",12,184937,1.12557566451448,0.336386734928513,3.34607624986663,0.000819638530645709,0.14507601992429
"27","6","Mean cell volume",23222517,"Haematological","273","clumped",47,148209,0.120830179700233,0.0371125541458996,3.2557764476467,0.00113082750089434,0.186388123767197
"28","17","Ferritin",25352340,"Metal","1050","clumped",9,126820,0.56707843881929,0.174219250699059,3.25497002509123,0.00113404334321632,0.186388123767197
"29","6","Caudate volume",25607358,"Neurological","1044","clumped",58,184937,0.631654151273487,0.196964565573824,3.20694308356058,0.00134153535225521,0.206333167295697
"30","38","G speed factor",21130836,"Neurological","1061","clumped",7,144316,1.37293891856115,0.428215507321549,3.20618682669567,0.00134506627963297,0.206333167295697
"31","32","Selenium",23720494,"Metal","1077","clumped",9,146337,0.61671998583934,0.193791740692183,3.18238529483531,0.00146067361152953,0.216839353556739
"32","8","Neo-extraversion",21173776,"Personality","115","clumped",11,139929,1.12602036883095,0.357646097398201,3.14842067905259,0.00164155267433522,0.236075793977834
"33","5","Schizophrenia",25056061,"Neurological","22","clumped",26,191567,0.166474473612545,0.0535873769607106,3.10659866286423,0.00189253142739831,0.263922109966274
"34","11","2-choice reaction time",21130836,"Neurological","1064","clumped",9,144473,1.19830853296993,0.393580047383872,3.04463740206112,0.00232960989297658,0.31007821565255
"35","16","Body fat",26833246,"Anthropometric","999","clumped",8,151992,0.398601540934781,0.131385772675794,3.03382575462236,0.00241473855388335,0.31007821565255
"36","27","Neo-conscientiousness",21173776,"Personality","114","clumped",7,139946,1.06533952874918,0.351853948466305,3.02778903972198,0.00246349998184242,0.31007821565255
"37","14","Plasma cortisol",25010111,"Other","1012","clumped",6,149850,0.724675074710862,0.239815809311259,3.02179859114417,0.0025127767923667,0.31007821565255
"38","32","Copper",23720494,"Metal","1073","clumped",9,146337,0.446063540512232,0.147893651596319,3.01611012844404,0.00256040247605322,0.31007821565255
"39","38","Migraine in bipolar disorder",25451450,"Neurological","1019","clumped",6,98939,1.0604649848985,0.353791137917812,2.99743230183694,0.00272264322018534,0.32127189998187
"40","2","Red blood cell count",23222517,"Haematological","275","clumped",178,148176,0.112436032970592,0.0377480580596128,2.9785911845592,0.00289576853077283,0.330275176006056
"41","32","Eczema",26482879,"Immune","996","clumped",15,192134,0.298101169987175,0.100246412504376,2.97368417023564,0.00294247766541684,0.330275176006056
"42","25","Age at menarche",25231870,"Aging","1095","clumped",13,145370,0.131767994712658,0.0448321259497045,2.93914223163283,0.00329122000609912,0.348940840711801
"43","14","Infant head circumference",22504419,"Anthropometric","28","clumped",6,145626,1.23134064848534,0.419047633981106,2.93842644280591,0.00329882927661774,0.348940840711801
"44","16","Heart rate",23583979,"Haematological","1056","clumped",7,146098,0.42637381658058,0.145275703275319,2.93492860105133,0.0033362444570446,0.348940840711801
"45","2","Mother's age at death",27015805,"Aging","1093","clumped",226,197123,0.324778406133599,0.111125486201276,2.922627537893,0.00347091439841541,0.354298621056961
"46","81","Neo-neuroticism",21173776,"Personality","116","clumped",7,139921,1.19530798607482,0.409936006130382,2.91584044387321,0.00354731859985568,0.354298621056961
"47","18","Packed cell volume",23222517,"Haematological","274","clumped",14,148194,0.36002358688718,0.123734685330756,2.90964159261245,0.00361843441757435,0.354298621056961
"48","23","Childhood obesity",22484627,"Anthropometric","1096","clumped",9,145554,0.570625716625442,0.197432197088732,2.89023636995228,0.00384952259797445,0.3690729790808
"49","5","Squamous cell lung cancer",24880342,"Cancer","967","clumped",24,185560,0.270793290215941,0.0941912082336022,2.8749316979176,0.00404114907559223,0.379538123385213
"50","72","Childhood obesity",22484627,"Anthropometric","1096","clumped",7,145554,0.715971941609332,0.251311979420668,2.84893678072892,0.00438655958770075,0.403738944451977
"51","16","HbA1C",20858683,"Glycemic","758","clumped",7,147569,0.336240670443944,0.118533467292169,2.83667286653444,0.0045586293202877,0.41134925748949
"52","6","Obesity class 1",23563607,"Anthropometric","90","clumped",45,143771,0.137593613111418,0.0487565419798256,2.8220543854064,0.00477170844965968,0.422296197794882
"53","32","Sitting height ratio",25865494,"Anthropometric","1070","clumped",15,177527,0.661761257330103,0.236790326033783,2.79471407643439,0.00519456354092437,0.451044932364792
"54","19","Intracranial volume",25607358,"Neurological","1041","clumped",20,184936,0.775845688361781,0.279577112827449,2.77506867609946,0.00551900522200825,0.470341889475592
"55","81","Neo-conscientiousness",21173776,"Personality","114","clumped",7,139946,0.99704801371101,0.360891553282804,2.76273579872261,0.00573191426158198,0.473249117621439
"56","53","Thalamus volume",25607358,"Neurological","1048","clumped",17,184952,0.891357939171691,0.322913339214325,2.76036270703601,0.00577372202112243,0.473249117621439
"57","11","Parents' age at death",27015805,"Aging","1094","clumped",15,197123,0.871545661755013,0.316301917959901,2.75542325944892,0.00586162531604129,0.473249117621439
"58","9","Neuroticism",27089181,"Personality","1007","clumped",30,177839,0.315446393374416,0.114873197037621,2.74603999461343,0.00603194097621328,0.478603316767819
"59","27","Heart rate",23583979,"Haematological","1056","clumped",7,146098,0.412322113184014,0.150677113704265,2.73646145089612,0.00621038708338448,0.48441019250399
"60","24","Femoral neck bone mineral density",26367794,"Bone","980","clumped",7,192491,0.583234694558921,0.214307541865491,2.72148469196192,0.00649893950225309,0.496718501577604
"61","18","Eczema",26482879,"Immune","996","clumped",15,192134,0.281731128012882,0.103983020708103,2.70939549644115,0.00674059361243417,0.496718501577604
"62","3","College completion",23722424,"Education","836","clumped",27,141060,0.515434303986627,0.190288257439159,2.70870263316919,0.00675468505971263,0.496718501577604
