"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"2","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/BMI2015","All_ancestries_SNP_gwas_mc_merge_nogc.tbl.uniq.gz.tab","Body mass index",339224,NA,NA,2555511,2,"Risk factor","Males and females","risk_factor__body_mass_index.txt.gz"
"993","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/dev/release_candidate/data/results/passqc","SWB_Full.txt.gz.tab","Subjective well being",298420,NA,NA,2268675,1009,"Risk factor","Males and females","risk_factor__subjective_well_being.txt.gz"
"985","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_education_educational_attainment_2016/","EduYears_Main.txt.gz.tab","Years of schooling",293723,NA,NA,8146841,1001,"Risk factor","Males and females","risk_factor__years_of_schooling.txt.gz"
"79","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Height2014","GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq.txt.gz.tab","Height",253288,NA,NA,2550859,89,"Risk factor","Males and females","risk_factor__height.txt.gz"
"38","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_2015_HIP_COMBINED_AllAncestries.txt.gz.new.tab","Hip circumference",224459,NA,NA,2561447,48,"Risk factor","Males and females","risk_factor__hip_circumference.txt.gz"
"50","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_2015_WC_COMBINED_AllAncestries.txt.gz.new.tab","Waist circumference",224459,NA,NA,2566630,60,"Risk factor","Males and females","risk_factor__waist_circumference.txt.gz"
"62","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_2015_WHR_COMBINED_AllAncestries.txt.gz.tab","Waist-to-hip ratio",224459,NA,NA,2562516,72,"Risk factor","Males and females","risk_factor__waisttohip_ratio.txt.gz"
"291","/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc","jointGwasMc_TC.txt.tab.all_pos","Total cholesterol",187365,NA,NA,2446982,301,"Risk factor","Males and females","risk_factor__total_cholesterol.txt.gz"
"289","/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc","jointGwasMc_HDL.txt.tab.all_pos","HDL cholesterol",187167,NA,NA,2447442,299,"Risk factor","Males and females","risk_factor__hdl_cholesterol.txt.gz"
"7","/projects/MRC-IEU/publicdata/GWAS_summary_data/cardiogram","cad.add.160614.website.txt.tab","Coronary heart disease",184305,60801,123504,9455779,7,"Disease","Males and females","disease__coronary_heart_disease.txt.gz"
"1078","/projects/MRC-IEU/publicdata/GWAS_summary_data/Menarche/","Menarche_Nature2014_GWASMetaResults_17122014.txt.tab","Age at menarche",182416,NA,NA,2441816,1095,"Risk factor","Females","risk_factor__age_at_menarche.txt.gz"
"292","/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc","jointGwasMc_TG.txt.tab.all_pos","Triglycerides",177861,NA,NA,2439433,302,"Risk factor","Males and females","risk_factor__triglycerides.txt.gz"
"290","/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc","jointGwasMc_LDL.txt.tab.all_pos","LDL cholesterol",173082,NA,NA,2437752,300,"Risk factor","Males and females","risk_factor__ldl_cholesterol.txt.gz"
"788","/projects/MRC-IEU/publicdata/GWAS_summary_data/cardiogram","mi.add.030315.website.txt.tab","Myocardial infarction",171875,43676,128199,9289492,798,"Disease","Males and females","disease__myocardial_infarction.txt.gz"
"991","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181","Neuroticism_Full.txt.gz.tab","Neuroticism",170911,NA,NA,6524433,1007,"Risk factor","Males and females","risk_factor__neuroticism.txt.gz"
"984","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181","DS_Full.txt.gz.tab","Depressive symptoms",161460,NA,NA,6524475,1000,"Risk factor","Males and females","risk_factor__depressive_symptoms.txt.gz"
"83","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013","GIANT_OVERWEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Overweight",158855,93015,65840,2435045,93,"Risk factor","Males and females","risk_factor__overweight.txt.gz"
"1067","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_birth_weight_27680694/","BW3_Transethnic_summary_stats.txt.gz.tab","Birth weight",153781,NA,NA,22434434,1084,"Risk factor","Males and females","risk_factor__birth_weight.txt.gz"
"1088","/projects/MRC-IEU/publicdata/GWAS_summary_data/CKDGEN","formatted_round3meta_eGFRcrea_overall_IV_2GC_b36_MAFget005_Nget50_20120705_b37.csv.tab","Serum creatinine (eGFRcrea)",133814,NA,NA,2198208,1105,"Risk factor","Males and females","risk_factor__serum_creatinine_egfrcrea.txt.gz"
"1070","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz.tab","Chronotype",128266,NA,NA,17032431,1087,"Risk factor","Males and females","risk_factor__chronotype.txt.gz"
"1071","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jones_morningness_sleep_duration/","Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz.tab","Sleep duration",128266,NA,NA,16761226,1088,"Risk factor","Males and females","risk_factor__sleep_duration.txt.gz"
"979","/projects/MRC-IEU/publicdata/GWAS_summary_data/CKDGEN","formatted_round3meta_CKD_overall_IV_2GC_b36_MAFget005_Nget50_20120725_b37.csv.tab","Chronic kidney disease",117165,12385,104780,2191877,991,"Disease","Males and females","disease__chronic_kidney_disease.txt.gz"
"23","/projects/MRC-IEU/publicdata/GWAS_summary_data/DIAGRAM","diagram.mega-meta.txt.tab.all_pos","Type 2 diabetes",110452,26488,83964,2915012,23,"Disease","Males and females","disease__type_2_diabetes.txt.gz"
"1038","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/GUGC_released_in_2015","GUGC_MetaAnalysis_Results_UA.csv.tab","Urate",110347,NA,NA,2450548,1055,"Risk factor","Males and females","risk_factor__urate.txt.gz"
"983","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Lu_BodyFat","body_fat_percentage_GWAS_PLUS_MC_ALL_ancestry_se_Sex_combined_for_locus_zoom_plot.TBL.txt.tab","Body fat",100716,NA,NA,3228665,999,"Risk factor","Males and females","risk_factor__body_fat.txt.gz"
